Serial Number,Filename,UUID
1,adewale-the-amebo,cad316c3-37f8-4b27-9f53-9d803bfcfee7
2,alli-the-queeny,a57ecda4-a26f-4e97-a757-e1800af39aab
3,aminat-the-snnobish,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de
4, ,4f30b751-96e7-40fe-97fd-e3d44973ff2f
5,chibuike-the-kudibag,5ce854f2-7ac1-46fd-b3fe-57583935d1e5
6,chidinma-the-model,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45
7,chioma-pretty- girl,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7
8,damilare-the-handsome,27eca2dc-d7df-474a-8f8f-1858152c711e
9,ebiowie-the-planter,f1df8270-4d60-4bd4-8959-ba7c384db5c4
10,emeka-the-businessman,9b3d75da-4887-4089-aee4-50de3954fdc9
11,gbeminyi-the-monk,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb
12,henry-the-sportsman,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b
13,mayowa-the-smallie,dfbb4163-df24-4d54-b74c-6218a68df8bd
14,muyiwa-the-stylish,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7
15,nina-paper-chaser,59524227-dc52-407c-8cca-e9e8c5fb3018
16,oluwaseun-spicy,808f7007-6552-4efa-bd13-4b7c337b102b
17,sesan-the-smartie,ba3edda7-8940-4ca4-97ba-826398d5909f
18,tiwa-london,78da7aeb-8352-4e25-89ac-dc48b5984089
19,tunde-yoruba-demon,53b46bd7-a537-402b-b249-0b4074a8faae
20,yakubu-the-zombie,4adb6781-1614-424e-8f77-fe59ffca2209
21,abdul-the-vibe,770f817a-9d9a-4772-9a91-e66dd9d03470
22,emeka-the -clown,78810fa6-a7ef-4d83-bf57-caf49db4ee69
23,salam-the-odogwu,f2957ded-022c-4b07-92c6-b345d4816a67
24,charles-the-exporter,09395e76-19ed-4852-8748-795ee7496a8e
25,wole-the-pimp,4d94d4f7-9b69-4e43-9db1-1fe83df92857
26,saro-the-baller,d35a7514-8996-42fb-a5f2-5a603ec679c5
27,ade-omo-yoruba,92984fa0-310b-4377-8a10-15965d044383
28,shola-cool kid,3ac5c186-bc14-4eb6-8567-cc818465a64f
29,charlie-the-smoker,71a0aa22-d111-43b7-8484-43d87310bc42
30,femi-the-badguy,e493e3fb-a8a0-455a-854f-0f6474bbc69f
31,sinzu-money,942f8347-9932-4331-bd15-d0f3a048b54f
32,obinna-the-palmwine tapper,0f1af056-2548-4407-bed4-abc11deae05d
33,,0129e7a5-e3d0-4675-92d0-1a1e55d11612
34,sabinus-the-town crier,01d4ce96-818e-44b1-8813-68a7d34b35ba
35,adisa-ibadan,3a925f27-35f6-4dbf-9960-c6527fae5f3e
36,linda-the-navigator,71f335a6-5a4f-4410-9cea-179336f0e498
37,kemi-the-iron lady,35b11a31-5b92-49f4-8fb1-30f255d22054
38,mercy-the-sassy lady,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f
39,sandra-money,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca
40,bimpe-the-fashionista,92b548b7-998b-46b6-8198-80d407209483
301,wendy-the-banker,587645e2-5ace-11ed-9b6a-0242ac120002
302,uduak-the-dark horse,58764862-5ace-11ed-9b6a-0242ac120002
303,timeyin -the -eccentric,58764a2e-5ace-11ed-9b6a-0242ac120002
304,omawunmi -the -businesswoman,58764b78-5ace-11ed-9b6a-0242ac120002
305,halima -the -housewife,58764d8a-5ace-11ed-9b6a-0242ac120002
306,muna -the -block sister,58764ea2-5ace-11ed-9b6a-0242ac120002
307,stella -the -gossip,58764fd8-5ace-11ed-9b6a-0242ac120002
308,agbani -the -wannabe,5876542e-5ace-11ed-9b6a-0242ac120002
309,asante-the -warrior,58765578-5ace-11ed-9b6a-0242ac120002
310,hilda -the insomaniac,5876569a-5ace-11ed-9b6a-0242ac120002
311,sisi yemi-the -street aunty,587657a8-5ace-11ed-9b6a-0242ac120002
312,chiamaka -the -bully,587658ca-5ace-11ed-9b6a-0242ac120002
313,gift-the-fashionista,58765adc-5ace-11ed-9b6a-0242ac120002
314,omoyene-the-weirdo,58765bea-5ace-11ed-9b6a-0242ac120002
315,maria-the -freshface,58765d02-5ace-11ed-9b6a-0242ac120002
316,monica-the-smoker,58765e24-5ace-11ed-9b6a-0242ac120002
341,mansur-the-partyrider,78db0f29-3936-4d9c-bb90-3dbf20dba2dd
342,tola-the-businessman,1c5d5a6b-cf04-4bf9-978e-22a7e9bc5819
343,abdullahi-the-honorable,dd708276-445f-4483-8357-fc08e999328f
344,ojukwu-the-badguy,76c1eabf-15ea-446a-8426-472982c4d800
345,odunsi-the-egbonadugbo,2912ab8b-5875-4277-a5c2-a0209aee90ae
346,ogogo-the-sugardaddy,aa575f30-04ad-45f9-a798-199465117793
347,suli-the-amalaseller,46fd4821-04dd-4f65-9290-c130a00c4c93
348,dolapo-the-afrocentric,cbab232b-5c62-4df8-867b-018a2e496cd4
349,danjuma-the-saddist,5a42af57-186e-425b-b6b1-f72bda4911ef
350,chinedu-the-farmer,9e8a55d7-0d8d-465d-a628-08ddd387a2c6
351,kola-the-baldguy,c32f1757-da9c-49e8-bd79-510a42b6971a
352,bola-the-bosslady,09ff910d-a2be-49d5-8b27-b9378458701c
353,kunle-the-alienguy,dea2f5d8-e3ba-4d3f-9a17-0a7edfd0c100
354,segun-the-sharp,f9159a9c-f48d-4aee-bcc1-63c86209f806
355,ola-the-hardguy,a814fc77-bdfa-4e50-8ba8-3e4e4bcfb3c0
356,emeka-the-chief,195e89c8-0b6f-43ad-9a2c-d20f03439e96
357,ugochukwu-the-celeb,74775cda-cff4-4d21-8819-693127598eca
358,adekunle-the-yorubademon,5c98c2d8-3144-4e08-8a0f-9b8d7e4f5aa7
359,favour-the-fashionista,19fc15c3-80fe-4d45-a2fe-be8f087d57c4
360,jane-the-slayqueen,74775cda-cff4-4d21-8819-693127598eca168b5fd275bbddcc09d8a39202ace08ed93d243cea14404776f4f17da4fe623bf795066c963c3591e0dc58478ee45bd578b98856be6553ada62cd49e8c08697038f1b3a908e793c6dad7519d156ec63534d7012ad1a9501872947953b8449b5a597448c5a98891e63507647eee4716777638ff4c29298a9127c74608a27e928ea8ff1c3fdad170f1a633cab2881e12cd8353b888f0a82fc9705d986eaa5225877b6154043e7a0084b759280a4618c3f04a2827b61691ad702326fd616030167cc6a770217f9852f6754965432baa45e39d318d228e6c74b54d2cbb04e0b2657e1afe8c3b8bb40399d2147a64ab083205f795f75ff7e9c960cc0c7c79cc1db70fcdadbb8f42f6fa11f961c4ee348495b4778eb547c5e97dca7f684dea7ce34df5f9391f50a42618d29545e1b0eed4ccd0c2965db97fb2e6f53f28859ad3f738a58c2392262b20cc55747324d1acdabf71150ed8c86213577d8b88d315fcbdde81f181ab607df3b92c302c18888d055d53300c0813764c43556830f5e77ee724cc7650544e6fa6311c40a68878bd3c8300c0c6f5c914d5ad69dbd59640bda226133ece9637d92401a2e7ee50c0b9da7a06c412e9c0520cef9d21991e242b85aecca67c11a974e551717ab5b0ded22aa3bb408d713c1f5b7a88e07164d76c753c69a9aa294e32b4c89ee5c5f892252008ff6ba9612c097168db93aab431a819214719fb5fd794f81372272d5fb784238a904ece32bd6613bdc13f5d50bcb2c877df8fce32beb741e380ea701a46f4440360a134326a1692bb988f8d8c94a56e9abd485a98da1f5873389f4146812afea635a749f30f72690e6d7ef5d321d5e4376e61487e5a5f60d8737df52f94cd43cdaa2660158152ae6395eb0d350fca40c198b88b2ea2ff9c777e3909b6417cdbab0dc9980071ca22dd6bdc9fbc0599bc8ce67b74329df3a1c9e9588a43e762146d71a30f1884fbc6bff782b9067a3ade46b9d0d8526e02770e1308ed80a31f2eeef30c38a1faf12baf75f84145fa91bbb71b7a1645a1197fc0baa709836610bc9be2f528fd8d2721e5b718a816df87e7318eb0a4633e87f30eeb4f8f171b2cda9a243763184fb38853442ee6ac93de65b346fdc6e1e999c10c99c509ea18d3fdfebf16180e32dbaa1f11cd36b290f38640ed191d3e9bb95d4d3833bfd3b3fb408035273921c846c805637b33c8ff42df17915b92d4f6a2c2716d803563068c03752106098c07b1f5569abfd109645d7acee751327b3e05e90b0db2a509042213db36b6c629f616cc540e2226463da1f21ab1b2e08040eeb778f3ea0151fb78298aeaa0b5b2a9ce63cd12c2393cec835e558808cccfccc3d2b1b0081e5ecb481b7360bb9330246b65a5c21169c06e2fa3b1ca13acbb60a71bc2ec293bd5df16e68c94ddc74e602ed613932a7396f6138ba03126e3974b8a0456c19e664ed6cd86ee651bd7c4a06229ba42d0136998faadf07e9aa821acce16bfcb9f20b8ac7ecfa4187fb1b8e81c53582a0dae5464ba018c776fea416c0d825876f4aee9ccdd0de8b970492f43ee47a3faf3c417538892b3598c9008035e86d042a4bbea30942c061e62e95516706e52a3354a108300342d6b3268b848cdf326dac02f11e2fdca4d26ddb55e397b4ffd4273e6ebd12f9489d653e7b35e7904c53202cda7090c2d9ed3e5cf1e668d934708e435ec174b4421a0b7320fcf6aab2224ba40fc6db035e469a29d9d7339d369169d93222d5f52d6132afc8d00939b7329912c90442526bde8e4d9bb06187b2df062f6c768c251b6a3e6b188b9cc58bb6b457f6029b334eb5d3e590755ca88c0723d04183fa0b9a1a1774f8fc76e40a4aee13e79069b5e26c2acb75c1a305b6d2b5b2bf4204e35f94e2bedb5014a421a7d9b552e61b1fb55a29a5f536ac20808c3ec90982f412e3799e1ea0593ce8b3b380f3564c2ef4128cbf6d5d45b36c4fcff7dc13690345db47dff6f646120acebdc9f6dd0abc14cc1bea9467efbc35699053e89da75bebde637f67ebba075361560d9a78cb885c21b7385581dbf877f3e2fac8220bd545e64cd76dd7b1b43516916ebb8bb4fdb20eeb8bf59cd286cc329731f96264733760973c93106fdaedc9d59c838a2eae4581c4cf5c1e0c0048daededa64aab45babd5fb44e6555fa4b97e12ee1fe339012abe484fcd02afc095c4ef07cce7bf4f42071119e41a20d048b0616ca6959c81e5835590268bb6d5fd4c05d32570a1f18ad904104b509e5da496bc63880d19e8b37d7e39e9450b6bdd0fe667b4a956b82e06571190547c5728a13ab404daa5a92da98ee5663d1f633ed700a0759b9e43809b0e3be89913e263a464e7ccadbe5ed7e605b764c58bf6721e4f3a1fbd1c00f2e3956a4a4ca5060113984dff7da4bf2a482f0231666444194cfec41e6d1ed5f9828305ef09cc08023600350b27291eb0d51352f035401c58afce45b0e09132657ac9e9d203e3dd98d84b3ea15b4d8d6a552c89b11d900e0040d59c2b33c8f29e28fcfb2a4465521ae847586ebe418daf37397bc06ef839474b1ed6f872b80843d77e470f1fa49386a2217ce0ed4b0253e4ae9f1eb305deda40919a27a1bce5b311ca40298f2c203b3567f981338ce8acfaa8c20310280f8fc7502bbff16d4ccffc1e7d6b1a819e7ec4a6267f2b7847713a59d59cfcc66ef18312a5477a585bd31c3b10a1cf7acb83fdeb2ab38d99de79af907785dbd640d43035074d24fbab9dff74e243565a89a3f46f0dc095034290f8044e767f00b8799ff44d867de143223ff03a8c2bd2fc600f9374da6b8887dc98434e22c7ef7720ed9eb9a06566c2011fbc6164479345dd917d2a9086f963aff51b45beb2a1725e8b5ffaf0ae19593bb8a998d3eec181af469dbb18b8acefb254b2343ef9d6c3ed4c94063d89ddbecc433653b94b7fc1fde02af02c3eb9515c9f540e82fc48fd6a74724b5f7ef4e812e53e61567590660c62c3b103e5a106a207b70cc69902057e2df40c6c32089e263f049c9e6259415ad396163c70dffb2ce8b6b7b792273355667d0d973ea81529976b719e4ca02a1f2f9029a10ed3a540459799b726539610b85275614765e1df3285f18092761dc793ea191b69aacf2aea461bd7171ae122c3e199b8c0c4ffc3ad29a6577d7bba7c022431ffe601877ef7aa89d4336fa4bb9ca276257cc4c44561da15f3e10784823492b6b9492df043e577db016eea77901663038e43c758844b79b1ac94f165af3a3524cc92c5ed7f40d81b2d86432d2aa26c94b31b6775fdd89bfde3f73a1f11c52421727a0d484ddf71d171d8671e6ae8286e90c7288c5520b1c200735c1abbc66543c5d6bf24fda5be36c308726dd1ce35a80866af403ac9d588e375bbf0393249ffb54916b10bb71ef34bde64c5804693dca5ce834f668332